slug;volume;intent;class;disposition;redirect_to;reason;city;theme
ccn-expert-comptable;1350;"Informational, Commercial";;redirect;/ressources/convention-collective-expert-comptable;consolidation sous-thèmes CCN;;
comment-devenir-expert-comptable;1340;Informational;;redirect;/ressources/devenir-expert-comptable;fusion manuelle (même intent);;
oec-expert-comptable;1310;Navigational;;hidden;;filtre institutionnel (ordre/oec) déjà actif;;
formation-expert-comptable;1290;Commercial;informational;enrich;;LP à enrichir;;
expert-comptable-perpignan;1260;Commercial;geo;redirect;/expert-comptable/perpignan;géo pur → annuaire ville (155 étabs);Perpignan;
expert-comptable-formation;1230;Commercial;informational;redirect;/ressources/formation-expert-comptable;doublon de permutation → formation-expert-comptable;;
expert-comptable-orleans;1210;Commercial;geo;redirect;/expert-comptable/orleans;géo pur → annuaire ville (91 étabs);Orléans;
cogep-expert-comptable;1200;Navigational;navigational;enrich;;LP à enrichir;;
expert-comptable-diplome;1200;"Informational, Transactional";informational;redirect;/ressources/diplome-expert-comptable;doublon de permutation → diplome-expert-comptable;;
obligation-expert-comptable;1190;Commercial;informational;enrich;;LP à enrichir;;
sandrine-meffre-expert-comptable;1160;;;noindex;;personne physique / cabinet nommé;;
etude-pour-devenir-expert-comptable;1140;Informational;informational;enrich;;LP à enrichir;;
expert-comptable-association;1130;Commercial;;redirect;/secteurs/association;intent porté par une route riche existante;;
expert-comptable-lille;1110;Commercial;geo;redirect;/expert-comptable/lille;géo pur → annuaire ville (168 étabs);Lille;
expert-comptable-e-commerce;1080;Commercial;;redirect;/professions/e-commercants;intent porté par une route riche existante;;
dougs-expert-comptable;1070;"Navigational, Transactional";navigational;enrich;;LP à enrichir;;
expert-comptable-pennylane;1060;"Navigational, Transactional";navigational;enrich;;LP à enrichir;;
code-de-deontologie-expert-comptable;1030;Informational;informational;enrich;;LP à enrichir;;
mohamed-kabbaj-expert-comptable;980;;;noindex;;personne physique / cabinet nommé;;
resiliation-lettre-de-mission-expert-comptable-sans-preavis;970;Informational;informational;enrich;;LP à enrichir;;
ordre-expert-comptable-bretagne;970;"Navigational, Transactional";;hidden;;filtre institutionnel (ordre/oec) déjà actif;;
experte-comptable-salaire;930;Informational;;redirect;/ressources/salaire-expert-comptable;fusion manuelle (même intent);;
formation-pour-expert-comptable;930;"Informational, Transactional";informational;redirect;/ressources/formation-expert-comptable;doublon de permutation → formation-expert-comptable;;
odoo-expert-comptable;930;Informational;informational;enrich;;LP à enrichir;;
congres-expert-comptable;920;"Informational, Transactional";informational;enrich;;LP à enrichir;;
creation-entreprise-expert-comptable;900;Commercial;commercial;enrich;;LP à enrichir;;
ordre-expert-comptable-pays-de-loire;900;Navigational;;hidden;;filtre institutionnel (ordre/oec) déjà actif;;
groupe-dec-expert-comptable;880;"Navigational, Commercial";navigational;enrich;;LP à enrichir;;
avis-sur-l-expert-comptable;870;Informational;informational;enrich;;LP à enrichir;;
expert-comptable-balma;870;Commercial;geo;redirect;/expert-comptable/balma;géo pur → annuaire ville (60 étabs);Balma;
avocat-expert-comptable;860;Informational;informational;enrich;;LP à enrichir;;
fidaquitaine-experts-comptables-et-conseils;860;;;noindex;;personne physique / cabinet nommé;;
devis-expert-comptable;850;Commercial;commercial;enrich;;LP à enrichir;;
expert-comptable-aide-declaration-impot-particulier;840;Informational;informational;enrich;;LP à enrichir;;
expert-comptable-77;830;Commercial;;redirect;/departements/77-seine-et-marne;code département → page département;;
conseil-national-de-l-ordre-des-experts-comptables;820;"Navigational, Transactional";;hidden;;filtre institutionnel (ordre/oec) déjà actif;;
expert-comptable-annecy;810;Commercial;geo;redirect;/expert-comptable/annecy;géo pur → annuaire ville (128 étabs);Annecy;
conseil-expert-comptable;800;Commercial;commercial;enrich;;LP à enrichir;;
blaise-petit-expert-comptable;800;;;noindex;;personne physique / cabinet nommé;;
sous-traitance-expert-comptable;790;Informational;informational;enrich;;LP à enrichir;;
expert-comptable-la-roche-sur-yon;770;Commercial;geo;redirect;/expert-comptable/la-roche-sur-yon;géo pur → annuaire ville (65 étabs);La Roche-sur-Yon;
expert-comptable-versailles;770;Commercial;geo;redirect;/expert-comptable/versailles;géo pur → annuaire ville (120 étabs);Versailles;
ordre-expert-comptable-lyon;750;"Informational, Transactional";;hidden;;filtre institutionnel (ordre/oec) déjà actif;;
expert-comptable-rennes;750;Commercial;geo;redirect;/expert-comptable/rennes;géo pur → annuaire ville (156 étabs);Rennes;
expert-comptable-agricole;750;Commercial;;redirect;/professions/agriculteurs;intent porté par une route riche existante;;
missions-d-un-expert-comptable;740;Informational;informational;enrich;;LP à enrichir;;
attestation-expert-comptable;720;"Informational, Transactional";informational;enrich;;LP à enrichir;;
expert-comptable-joinville-le-pont;700;Commercial;geo;redirect;/expert-comptable/joinville-le-pont;géo pur → annuaire ville (26 étabs);Joinville-le-Pont;
expert-comptable-reims;690;Commercial;geo;redirect;/expert-comptable/reims;géo pur → annuaire ville (104 étabs);Reims;
expert-comptable-carcassonne;680;Commercial;geo;redirect;/expert-comptable/carcassonne;géo pur → annuaire ville (52 étabs);Carcassonne;
expert-comptable-offre-emploi;660;Commercial;;redirect;/ressources/postes-expert-comptable;consolidation emploi/recrutement;;
expert-comptable-pas-cher;660;Commercial;commercial;enrich;;LP à enrichir;;
droit-de-retention-expert-comptable;630;Informational;informational;enrich;;LP à enrichir;;
expert-comptable-grandchamp-des-fontaines;630;Commercial;geo;redirect;/expert-comptable/grandchamp-des-fontaines;géo pur → annuaire ville (1 étabs);Grandchamp-des-Fontaines;
conseil-regional-ordre-experts-comptables;610;"Informational, Transactional";;hidden;;filtre institutionnel (ordre/oec) déjà actif;;
expert-comptable-le-mans;610;Commercial;geo;redirect;/expert-comptable/le-mans;géo pur → annuaire ville (72 étabs);Le Mans;
cerfrance-gironde-expert-comptable-bordeaux-metropole;590;"Navigational, Transactional";;noindex;;personne physique / cabinet nommé;;
meilleur-expert-comptable-en-ligne;590;Commercial;;redirect;/ressources/expert-comptable-en-ligne;fusion manuelle (même intent);;
honoraires-expert-comptable;590;Informational;informational;enrich;;LP à enrichir;;
daf-externalise-expert-comptable;570;;commercial;enrich;;LP à enrichir;;
expert-comptable-bethune;570;Commercial;geo;redirect;/expert-comptable/bethune;géo pur → annuaire ville (28 étabs);Béthune;
congres-des-experts-comptables;570;Navigational;;redirect;/ressources/congres-expert-comptable;consolidation évènements profession;;
expert-comptable-dunkerque;570;Commercial;geo;redirect;/expert-comptable/dunkerque;géo pur → annuaire ville (29 étabs);Dunkerque;
ecole-expert-comptable;560;Commercial;informational;enrich;;LP à enrichir;;
cadre-de-reference-expert-comptable;560;"Informational, Transactional";;hidden;;filtre institutionnel (ordre/oec) déjà actif;;
congres-de-l-ordre-des-experts-comptables;560;Navigational;;hidden;;filtre institutionnel (ordre/oec) déjà actif;;
difference-comptable-et-expert-comptable;550;Informational;informational;enrich;;LP à enrichir;;
difference-entre-comptable-et-expert-comptable;550;Informational;informational;redirect;/ressources/difference-comptable-et-expert-comptable;doublon de permutation → difference-comptable-et-expert-comptable;;
jedeclare-com-expert-comptable;550;"Informational, Transactional";informational;enrich;;LP à enrichir;;
expert-comptable-casablanca;540;Commercial;;noindex;;hors marché FR;;
amarris-expert-comptable;520;Commercial;commercial;enrich;;LP à enrichir;;
congres-des-experts-comptables-2024;510;Navigational;;redirect;/ressources/congres-expert-comptable;consolidation évènements profession;;
expert-comptable-odoo;500;Informational;informational;redirect;/ressources/odoo-expert-comptable;doublon de permutation → odoo-expert-comptable;;
expert-comptable-44;500;;;redirect;/departements/44-loire-atlantique;code département → page département;;
crm-expert-comptable;490;Commercial;commercial;enrich;;LP à enrichir;;
liste-des-experts-comptables;490;Navigational;;redirect;/annuaire/experts-comptables;intent porté par une route riche existante;;
expert-comptable-91;490;Commercial;;redirect;/departements/91-essonne;code département → page département;;
expert-comptable-location-meublee;490;Commercial;;redirect;/professions/loueurs-en-meuble-lmnp-lmp;intent porté par une route riche existante;;
expert-comptable-digital;490;Commercial;commercial;enrich;;LP à enrichir;;
